number,name,region,dong_id
103,더존사이다 동전노래연습장,대구광역시 중구 덕산동,1
104,락휴 코인노래연습장 동성로점,대구광역시 중구 삼덕동,1
105,잇츠코인 노래연습장,대구광역시 달성군 현풍읍,8
106,엠넷스타동전노래연습장,대구광역시 북구 태전동,5
107,놀자동전노래연습장,대구광역시 북구 사수동,5
108,탑보이스동전노래연습장,대구광역시 남구 이천동,4
109,쪼아동전노래연습장,대구광역시 남구 대명동,4
110,소울보이스 경북대점 (동전),대구광역시 북구 대현동,5
111,오렌지동전노래연습장(신천점),대구광역시 수성구 범어동,6
112,티제이퍼펙트싱어동전노래연습장,대구광역시 수성구 범어동,6
113,레트로코인노래연습장,대구광역시 수성구 지산동,6
114,두성코인노래연습장,대구광역시 달서구 이곡동,3
115,나사노래연습장,대구광역시 달서구 상인동,3
116,더엠스카이 노래연습장,대구광역시 중구 대봉동,1
117,반반코인노래연습장,대구광역시 북구 산격동,5
118,천명화노래연습장,대구광역시 서구 내당동,3
119,심포니노래연습장,대구광역시 달서구 진천동,3
120,와우동전노래연습장(복현점),대구광역시 북구 복현동,5
121,퍼팩트싱어동전노래연습장율하점,대구광역시 동구 율하동,2
122,땡그랑동전노래연습장,대구광역시 남구 대명동,4
123,코인 스테이지 노래연습장,대구광역시 달성군 화원읍,8
124,히어로 동전노래연습장,대구광역시 달성군 유가읍,8
125,심쿵노래연습장,대구광역시 북구 사수동,5
126,체리노래연습장,대구광역시 수성구 범어동,6
127,퍼펙트싱어동전노래연습장,대구광역시 수성구 신매동,6
128,피플죤동전노래연습장,대구광역시 북구 대현동,5
129,발리노래연습장,대구광역시 북구 대현동,5
130,썸동전노래연습장,대구광역시 북구 동천동,5
131,통통동전노래연습장,대구광역시 남구 대명동,4
132,씽씽동전노래연습장,대구광역시 북구 구암동,5
133,K팝동전노래연습장,대구광역시 동구 방촌동,2
134,엔조이동전노래연습장,대구광역시 북구 태전동,5
135,대영 노래연습장,대구광역시 달성군 옥포면,8
136,궁 노래연습장,대구광역시 수성구 수성동,6
137,벤츠노래연습장,대구광역시 북구 동천동,5
138,더엠캐슬노래연습장,대구광역시 중구 대봉동,1
139,큐노래연습장,대구광역시 북구 고성동,5
140,BJ노래연습장,대구광역시 달성군 다사읍,8
141,빨강파랑노래연습장,대구광역시 달성군 유가읍,8
142,텐텐동전노래연습장,대구광역시 서구 중리동,3
143,페르노래연습장,대구광역시 달서구 진천동,3
144,팡팡동전노래연습장,대구광역시 동구 신서동,2
145,샵노래연습장,대구광역시 달서구 이곡동,3
146,쇼노래연습장,대구광역시 동구 방촌동,2
147,빅동전노래연습장,대구광역시 북구 태전동,5
148,앗싸노래연습장,대구광역시 달서구 진천동,3
149,스카이노래연습장,대구광역시 달성군 현풍면,8
150,스타일동전노래연습장,대구광역시 달서구 용산동,3
151,땡큐동전노래연습장,대구광역시 달서구 이곡동,3
152,띵동동전노래연습장,대구광역시 남구 대명동,4
153,탑보이스동전 노래연습장,대구광역시 북구 동천동,5
154,제이노래연습장,대구광역시 동구 각산동,2
155,오렌지동전노래연습장,대구광역시 수성구 범어동,6
156,동전노래연습장,대구광역시 달서구 두류동,3
157,군위노래연습장,대구광역시 군위군 군위읍,9
158,아지트,대구광역시 수성구 중동,6
159,스타일동전 노래연습장,대구광역시 북구 태전동,5
160,올레동전노래연습장,대구광역시 동구 봉무동,2
161,더엠노래연습장,대구광역시 중구 대봉동,1
162,일통이통동전노래연습장,대구광역시 달서구 송현동,3
163,유천노래연습장,대구광역시 달서구 대곡동,3
164,앵콜동전노래연습장,대구광역시 북구 침산동,5
165,시크릿노래연습장,대구광역시 북구 복현동,5
166,코코동전노래연습장,대구광역시 달서구 상인동,3
167,아지트코인노래연습장,대구광역시 북구 복현동,5
168,이시아노래연습장,대구광역시 동구 봉무동,2
169,필통동전노래연습장,대구광역시 동구 신서동,2
170,일통이통 7호광장점 동전 노래연습장,대구광역시 서구 내당동,3
171,엠투(M2)노래연습장,대구광역시 달서구 본리동,3
172,텐텐동전노래연습장,대구광역시 달서구 용산동,3
173,일통이통동전 노래연습장,대구광역시 서구 평리동,3
174,골드노래연습장,대구광역시 동구 효목동,2
175,비노래연습장,대구광역시 달서구 신당동,3
176,쇼동전노래연습장,대구광역시 달서구 도원동,3
177,필노래연습장,대구광역시 달서구 두류동,3
178,텐노래연습장,대구광역시 달서구 두류동,3
179,씽씽쏭쏭 동전 노래연습장,대구광역시 서구 비산동,3
180,텐텐동전 노래연습장,대구광역시 북구 동천동,5
181,건전노래연습장,대구광역시 달성군 구지면,8
182,통통동전노래연습장,대구광역시 동구 효목동,2
183,오페라노래연습장,대구광역시 북구 칠성동,5
184,멜론노래연습장,대구광역시 수성구 상동,6
185,와우코인노래연습장,대구광역시 북구 산격동,5
186,탑보이스노래연습장,대구광역시 남구 대명동,4
187,고래등노래연습장,대구광역시 달서구 두류동,3
188,엔노래연습장,대구광역시 북구 태전동,5
189,텐텐동전노래연습장,대구광역시 달서구 호산동,3
190,락휴코인노래연습장 동성로2호점,대구광역시 중구 공평동,1
191,돼지동전노래연습장,대구광역시 달성군 화원읍,8
192,쇼 노래연습장,대구광역시 동구 방촌동,2
193,더코인,대구광역시 수성구 신매동,6
194,K-2 노래연습장,대구광역시 수성구 상동,6
195,멜론노래연습장,대구광역시 수성구 황금동,6
196,통통동전노래연습장,대구광역시 서구 평리동,3
197,수노래연습장,대구광역시 북구 학정동,5
198,스타 노래연습장,대구광역시 남구 대명동,4
199,대봉노래연습장,대구광역시 중구 대봉동,1
200,성림노래연습장,대구광역시 달서구 본동,3
201,따봉노래연습장,대구광역시 달서구 이곡동,3
