number,name,region,dong_id
268,에이스존PC,대구광역시 남구 봉덕동,4
269,고고PC,대구광역시 달서구 송현동,3
270,디헬T PC카페,대구광역시 중구 동성로,1
271,볼륨업피씨방 칠곡점,대구광역시 북구 동천동,5
272,욜로PC방 신서점,대구광역시 동구 신서동,2
273,욜로PC용산점,대구광역시 달서구 용산동,3
274,크레인PC 대구동구본점,대구광역시 동구 대림동,2
275,앤유PC(NU PC),대구광역시 동구 신서동,2
276,VIP(브이아이피),대구광역시 북구 매천동,5
277,청담PC,대구광역시 동구 신천동,2
278,광PC서부점,대구광역시 달서구 송현동,3
279,광PC까페대명점,대구광역시 남구 대명동,4
280,브이아이피PC&Cafe,대구광역시 달서구 파호동,3
281,대박PC,대구광역시 북구 산격동,5
282,광PC카페 옥포직영점,대구광역시 달성군 옥포읍,8
283,빙고PC,대구광역시 동구 효목동,2
284,라이또PC 대구 신매점,대구광역시 수성구 신매동,6
285,럭키PC,대구광역시 동구 효목동,2
286,TTPC희망점,대구광역시 수성구 황금동,6
287,앤유피씨신월성점,대구광역시 달서구 월성동,3
288,빅매치PC,대구광역시 남구 이천동,4
289,골드PC,대구광역시 북구 산격동,5
290,스타피시방 본점,대구광역시 달서구 상인동,3
291,팽피시카페 성서점,대구광역시 달서구 이곡동,3
292,행운PC방,대구광역시 동구 효목동,2
293,앤유(nu) PC방,대구광역시 동구 지저동,2
294,앤유피시,대구광역시 달서구 대천동,3
295,광PC cafe,대구광역시 서구 평리동,3
296,미래PC,대구광역시 달서구 본리동,3
297,볼륨업피씨방,대구광역시 중구 삼덕동,1
298,욜로PC 신천점,대구광역시 동구 신천동,2
299,티피씨,대구광역시 북구 칠성동,5
300,오렌지피시방,대구광역시 달서구 본리동,3
301,라이또PC대구북구점,대구광역시 북구 읍내동,5
302,앤유(nu) 피씨방,대구광역시 동구 봉무동,2
303,광PC방,대구광역시 수성구 시지동,6
304,올킬PC방,대구광역시 달성군 다사읍,8
305,킹PC,대구광역시 달성군 유가읍,8
306,에스브이(SV)PC,대구광역시 달서구 송현동,3
