title,year
데이터 사이언티스트(인텔러전트 플릿 세이프티),2024
[42dot] 2025 Engineering Internship(Autonomous Driving),2025
[42dot] 2025 Engineering Internship(LLM),2025
머신러닝 엔지니어(Auto Labeling),2024
SLAM Engineer,2024
Sensor Fusion Engineer,2024
LLM Engineer (Ops),2024
머신러닝 엔지니어(엔드 투 엔드 드라이빙),2024
머신러닝 엔지니어(Auto Labeling),2024
LLM 엔지니어 (LLM 학습/튜닝/강화학습),2024
LLM Engineer (최적화),2024
Generative NLP Engineer,2024
딥러닝 엔지니어(음성 합성 TTS 연구/개발),2024
리드 머신러닝 엔지니어(자율주행),2024
딥러닝 엔지니어(맞춤형 AI / LLM),2024
딥러닝 엔지니어(음성 솔루션 개발/운영),2024
딥러닝 엔지니어(음성인식개발),2024
컴퓨터 비전 엔지니어(자율주행),2024
[42dot] Android Application Engineer (Gleo AI Application),2025
[42dot] Android Application Engineer (Gleo AI SDK),2025
"글로벌 최고 동료들과 미래 모빌리티를 만들 기회, 지금 지원하세요",2025
시니어 품질 보증 엔지니어 (통합 소프트웨어),2024
리드 테스트 엔지니어(자율주행),2024
AV Validation Engineer,2024
