title,year
2024년 삼보모터스 해외법인운영지원실 경력 채용,2024
삼보모터스 품질부문 신입/경력 채용,2024
삼보모터스 품질2팀 신입/경력 채용,2024
삼보모터스 중국법인 일조삼보 개발/품질 경력 채용,2024
삼보모터스 품질2팀 신입/경력 채용,2024
2024년 삼보모터스 신입/경력 수시 채용,2024
2024년 상반기 삼보모터스 제조부문 신입/경력 채용,2024
2023 하반기 품질경영팀 신입/경력 채용,2023
2023 하반기 삼보모터스 품질경영팀 신입/경력 채용,2023
2023년 하반기 삼보모터스 품질본부 신입/경력 채용,2023
"삼보모터스 품질본부, 구매본부 신입/경력 수시채용",2023
삼보모터스 글로벌사업본부 신입/경력 수시채용,2023
삼보모터스 멕시코법인(SBAM) 총괄 책임자 채용,2023
26년 상반기 관리직 경력 채용 - 글로벌 비즈니스팀,2026
26년 상반기 관리직 경력 채용 - FCEV사업팀,2026
26년 상반기 관리직 경력 채용 - 개발팀,2026
26년 상반기 관리직 경력 채용 - 생산관리팀,2026
26년 상반기 관리직 경력 채용 - 생산기술팀(해당업무 5년 이상),2026
26년 상반기 관리직 경력 채용 - 생산기술팀(해당업무 3년 이상),2026
26년 상반기 관리직 경력 채용 - 해외법인 운영지원실,2026
26년 상반기 관리직 경력 채용 - 재경팀(해당업무 2년 이상),2026
26년 상반기 관리직 경력 채용 - 재경팀(해당업무 1년 이상),2026
26년 상반기 관리직 신입 채용 - 안전관리팀,2026
26년 상반기 관리직 신입 채용 - 해외법인 운영지원실,2026
26년 상반기 관리직 신입/경력 채용,2026
2023 하반기 사출라인 구축 생산기술 부문 경력 상시채용,2023
2023 하반기 조립라인 구축 생산기술 부문 경력 상시채용,2023
25년 하반기 연구개발본부 경력 채용 - 열관리시스템 설계,2025
25년 하반기 연구개발본부 경력 채용 - 제품 선행개발,2025
25년 하반기 연구개발본부 경력 채용 - 센서칩패키지 연구개발,2025
25년 하반기 연구개발본부 경력 채용 - 전기차부품 기구설계,2025
25년 하반기 연구개발본부 경력 채용 - 엑츄에이터 개발,2025
25년 하반기 연구개발본부 경력 채용 - 수소연료전지부품 기구설계,2025
25년 하반기 연구개발본부 경력 채용 - 감속기 개발,2025
