title,year
2025 하반기 기아 집중 채용 (경력),2025
2024 기아 IT 전문가 채용,2024
기아 경력 상시채용 ICT 부문,2024
2024 기아 8월 경력채용,2024
2024 기아 7월 경력채용,2024
2024 기아 6월 경력 채용 마케팅 부문,2024
2024 기아 IT전문가 경력채용,2024
기아 Plan S 경력 채용,2023
[국내사업] 플랫폼-IT 전략,2023
2024 기아 11월 경력채용,2024
2024 기아 6월 경력 채용 구매 부문,2024
2024 기아 5월 경력 채용 IT 부문,2024
2024 기아 월간 경력채용,2024
2024 기아 6월 경력 채용 IT 부문,2024
2024 기아 월간 경력채용,2024
2024년 기아㈜ 9월 경력 채용,2024
2024 기아 6월 경력 채용 품질 부문,2024
2024 기아 6월 경력 채용,2024
2024 기아 5월 경력 채용 생산/품질 부문,2024
[구매] 제어기 및 차량용 플랫폼 S/W 부품 개발,2023
2025 하반기 기아 집중 채용 (신입/외국인/장애인),2025
[국내사업] EV 충전 인프라 솔루션 개발 및 제휴,2023
[계약직] 본사 통번역사(한/영)(접수기간 연장),2025
[계약직] 본사 통번역사(한/영),2025
